Genus,Taxonomy,healthy,onset,diseased,Mean Overall
Catenisphaera,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenisphaera,0.0,0.0,0.11609423244018226,0.03869807748006075
JAACSU01,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__BD1-5;f__UBA6164;g__JAACSU01,0.041288191577208914,0.0,0.05713659279321596,0.03280826145680829
Acetoanaerobium,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Filifactoraceae_235894;g__Acetoanaerobium,0.08753024558187529,0.0,0.0,0.029176748527291765
Oscillospiraceae_88309* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Oscillospirales;f__Oscillospiraceae_88309;__,0.049862877088007976,0.028155795401220086,0.0,0.02600622416307602
UBA9076,d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__UBA9076,0.0,0.05319401223442344,0.01823735923038344,0.023810457154935627
Cryptobacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides,0.03611095498938612,0.03441263882371344,0.0,0.02350786460436652
Anaerovoracaceae* (f),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;__,0.02243829468960359,0.04692632566870014,0.0,0.02312154011943458
Nigerium,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Nigerium,0.0,0.06912618985715893,0.0,0.023042063285719644
Tenuifilaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tenuifilaceae;__,0.022708505367464906,0.03441263882371344,0.0,0.01904038139705945
Aliarcobacter,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter,0.052546969821430374,0.0,0.0,0.017515656607143458
Tannerella,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Tannerella,0.0,0.0,0.052281148914180835,0.017427049638060278
CAG-238,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-238,0.0,0.0,0.047462098309246026,0.015820699436415342
Wolinella,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Wolinella,0.01651527663088357,0.024304617877396704,0.0,0.013606631502760091
Desulfobulbus_A_451156,d__Bacteria;p__Desulfobacterota_I;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus_A_451156,0.0,0.0,0.036102432559179026,0.012034144186393009
Acinetobacter,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales_660879;f__Moraxellaceae;g__Acinetobacter,0.0,0.0,0.03191397113300672,0.010637990377668908
W11650,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Lachnospirales;f__Vallitaleaceae_A_116062;g__W11650,0.0,0.008944543828264758,0.021860941401171285,0.010268495076478682
Burkholderiaceae_A_595425* (f),d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales_595425;f__Burkholderiaceae_A_595425;__,0.0,0.0,0.019851150489580655,0.006617050163193552
Flavobacteriaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;__,0.0,0.01351113904278559,0.0,0.004503713014261863
Peptostreptococcales* (o),d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;__;__,0.0,0.0,0.011071733098295906,0.003690577699431969
