Genus,Taxonomy,healthy,onset,diseased,Mean Overall
Porphyromonas_A_859424,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A_859424,0.0,0.39611767276842563,0.0,0.13203922425614187
Parvimonas,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas,0.0,0.3628541822989245,0.03293400848050718,0.13192939692647723
Capnocytophaga_820690,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;g__Capnocytophaga_820690,0.15109544195416771,0.2234803337306317,0.0,0.12485859189493313
Erysipelotrichaceae* (f),d__Bacteria;p__Firmicutes_D;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;__,0.23973022249774628,0.07404360345536816,0.05270092226613966,0.12215824940641802
UBA932* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;__,0.2614562216758892,0.10183299389002036,0.0,0.12109640518863653
HOT-345,d__Bacteria;p__Patescibacteria;c__JAEDAM01;o__Absconditabacterales;f__X112;g__HOT-345,0.1380273120788745,0.13036198837740615,0.03486240194165541,0.10108390079931201
Selenomonadaceae_42771* (f),d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae_42771;__,0.25545293770878363,0.0,0.02178886588953045,0.09241393453277136
Saccharimonadales* (o),d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;__;__,0.0,0.0,0.23166479832852171,0.07722159944284057
Actinobacillus_B,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Actinobacillus_B,0.0,0.07128309572301425,0.15734213724448198,0.0762084109891654
Naumannella,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Propionibacteriales;f__Propionibacteriaceae;g__Naumannella,0.0,0.17543859649122806,0.05205117962498941,0.07582992537207249
Flavobacteriaceae* (f),d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales_877923;f__Flavobacteriaceae;__,0.0,0.0,0.13535586332007712,0.045118621106692375
Cryptobacteroides,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides,0.047408343868520865,0.0554994954591322,0.0,0.03430261310921769
Nanogingivalis,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__Nanogingivalaceae;g__Nanogingivalis,0.0672988681553992,0.0,0.01815738824127537,0.028485418798891524
Peptostreptococcus,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Peptostreptococcales;f__Peptostreptococcaceae_256921;g__Peptostreptococcus,0.0,0.042105263157894736,0.005678349871527334,0.015927871009807356
Bacteria* (d),d__Bacteria;__;__;__;__;__,0.0,0.0,0.03293400848050718,0.010978002826835727
